timestamp,catalog,instrument,technique,long,lat,speed,type,half_width,time_21_5,earth_prediction,PE
1/16/12 3:42,M2M_CATALOG,SOHO: LASCO/C3,,-57,28,990,C,47,2012-01-16T06:56Z,2012-01-19T16:00Z,-36
1/23/12 4:00,M2M_CATALOG,SOHO: LASCO/C3,,26,41,2211,R,62,2012-01-23T05:20Z,2012-01-24T14:18Z,-0.2
2/10/12 12:25,M2M_CATALOG,STEREO A: SECCHI/COR2,,-19,4,301,S,36,2012-02-10T12:25Z,2012-02-12T22:46Z,-32.3
2/10/12 20:12,M2M_CATALOG,SOHO: LASCO/C2,,-27,22,588,C,40,2012-02-10T02:24Z,2012-02-12T22:46Z,-17.2
2/24/12 3:46,M2M_CATALOG,STEREO A: SECCHI/COR2,,-12,32,815,C,55,2012-02-24T07:40Z,2012-02-26T13:26Z,-7.5
3/4/12 11:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,-48,25,1540,O,60,2012-03-04T13:22Z,2012-03-06T04:29Z,-2.2
3/7/12 0:36,M2M_CATALOG,STEREO B: SECCHI/COR2,,-60,30,2200,R,50,2012-03-07T01:44Z,2012-03-08T06:25Z,-4.6
3/7/12 1:25,M2M_CATALOG,STEREO B: SECCHI/COR2,,-23,4,1800,O,65,2012-03-07T02:20Z,2012-03-08T06:25Z,-4.6
3/10/12 18:09,M2M_CATALOG,STEREO A: SECCHI/COR2,,5,22,1400,O,55,2012-03-10T20:20Z,2012-03-12T18:03Z,9.3
3/13/12 17:52,M2M_CATALOG,SOHO: LASCO/C3,,43,25,2250,R,60,2012-03-13T18:55Z,2012-03-15T06:20Z,-6.2
4/19/12 15:39,M2M_CATALOG,STEREO A: SECCHI/COR2,,-18,-28,650,C,25,2012-04-19T21:18Z,2012-04-22T00:50Z,-25.6
5/11/12 23:54,M2M_CATALOG,STEREO A: SECCHI/COR2,,-42,-12,1040,O,45,2012-05-12T02:24Z,2012-05-14T14:28Z,-49.5
5/12/12 1:54,M2M_CATALOG,STEREO B: SECCHI/COR2,,-70,10,550,C,19,2012-05-12T07:15Z,2012-05-14T14:28Z,-49.5
6/13/12 14:00,M2M_CATALOG,SOHO: LASCO/C2,,-20,-25,604,C,41,2012-06-13T19:54Z,2012-06-16T10:16Z,1.4
6/14/12 14:09,M2M_CATALOG,STEREO B: SECCHI/COR2,,-9,-20,1364,O,50,2012-06-14T16:35Z,2012-06-16T10:16Z,1.4
7/4/12 17:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,25,-7,535,C,31,2012-07-05T02:07Z,2012-07-08T06:00Z,-2
7/5/12 13:39,M2M_CATALOG,STEREO A: SECCHI/COR2,,42,-56,640,C,22,2012-07-05T19:14Z,2012-07-08T06:00Z,-2
7/12/12 16:54,M2M_CATALOG,STEREO B: SECCHI/COR2,,6,-13,1300,O,65,2012-07-12T19:29Z,2012-07-14T10:20Z,-7.1
8/4/12 13:48,M2M_CATALOG,SOHO: LASCO/C2,,-28,-18,745,C,45,2012-08-04T18:46Z,2012-08-07T22:28Z,1.2
8/31/12 20:36,M2M_CATALOG,SOHO: LASCO/C3,,-63,-15,1498,O,75,2012-08-31T22:43Z,2012-09-02T19:21Z,-16
9/28/12 2:25,M2M_CATALOG,STEREO A: SECCHI/COR2,,30,5,1160,O,85,2012-09-28T01:56Z,2012-09-29T22:47Z,-23.4
10/5/12 3:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,10,-28,650,C,47,2012-10-05T09:15Z,2012-10-08T10:41Z,6.2
10/27/12 16:25,M2M_CATALOG,STEREO B: SECCHI/COR2,,-10,10,377,S,22,2012-10-28T00:13Z,2012-10-31T15:51Z,0.8
10/27/12 17:40,M2M_CATALOG,STEREO B: SECCHI/COR2,,12,24,420,S,36,2012-10-28T02:05Z,2012-10-31T15:51Z,0.8
11/9/12 15:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,-11,-13,570,C,27,2012-11-09T20:55Z,2012-11-12T23:07Z,0.9
11/23/12 13:54,M2M_CATALOG,STEREO A: SECCHI/COR2,,-15,-22,610,C,42,2012-11-23T19:30Z,2012-11-26T15:52Z,3.9
1/13/13 7:24,M2M_CATALOG,SOHO: LASCO/C3,,12,3,447,S,31,2013-01-13T19:18Z,2013-01-17T02:18Z,-13.7
3/15/13 6:54,M2M_CATALOG,SOHO: LASCO/C2,,-2,-3,1485,O,66,2013-03-15T09:03Z,2013-03-16T16:59Z,-13
5/17/13 9:24,M2M_CATALOG,STEREO B: SECCHI/COR2,,-40,13,1400,O,47,2013-05-17T11:25Z,2013-05-19T15:37Z,-6.7
7/1/13 21:09,M2M_CATALOG,STEREO B: SECCHI/COR2,,-85,11,915,C,63,2013-07-02T01:25Z,2013-07-05T00:00Z,-1
